	tweet_id	text	user_id	created_at	party	valence
2933	1088339928847708160	Ja, Und wir stellen uns die tägliche Frage bei dieser Kälte, wie viele Fenster stehen immer noch auf in den ca. 80 x illegalen Leerstands Wohnungen in der #HabersaathStraße 40-48 in #Berlin #Mitte??? @BZ_NachtFloh @kiezerhalten @lisapaus @romantikkiez @22marion_noiram @bizimkiez https://t.co/UvzfMwcZ4i	569166756	2019-01-24 07:37:14	Grüne	1.02
3819	1042286016361627648	"""I’ve always felt that humorlessness is the root of all fascism, really."" Grandioses Interview mit Emma Thompson über Feminismus und falsche Vorstellungen von Romantik und Kinderkriegen. https://t.co/8DIWjUpQFq"	569166756	2018-09-19 05:35:25	Grüne	-1.99
10520	1086524699151089664	Die grüne Blockade bei den sicheren #Herkunftsstaaten ist grob fahrlässig! Grüne Asylromantik lähmt unsere Behörden und verzögert Asylverfahren unnötig. Wir behalten die Realität im Auge: Wir unterscheiden klar zwischen Schutzbedürftigkeit und Asylmissbrauch.	801803127762669568	2019-01-19 07:24:09	CDU	-0.41
11605	875583998398840832	Generationengerechtigkeit darf durch die Wahl nicht aufs Spiel gesetzt werden. Bei der #Rente Experten fragen und keine Sozialromantiker https://t.co/R22ymVWj0r	801803127762669568	2017-06-16 05:21:07	CDU	1.31
12578	532989644502474752	Höre eben aus dem Haushaltsausschuss dass die Bundesmittel für das Romantikmuseum  in Frankfurt genehmigt sind.... http://t.co/Ph3ZoiVaZk	52994606	2014-11-13 20:13:28	CDU	-0.3
18601	1166701292326150145	Oh ja lieber @WDR , alle, die damals beim großen Flirt-Flashmob in der Silvesternacht 2015 vor dem Hauptbahnhof auf genau diesem Platz mit dabei waren, reden bis heute begeistert von dem tollen Romantik-Hotspot. https://t.co/ixfEwUaRRh	849060114388705280	2019-08-28 13:17:19	AfD	-0.3
20234	1125861736693796864	#Timmermans gegen #Weber in der #Wahlarena: 2 #EU-Romantiker im TV-Duell - Pardon! - TV-Duett. Kann man sich angucken, muss man aber nicht. #EUWahl2019 #EP2019 #Europawahl2019  Freiheit statt Brüssel ➡️🗳️ Am 26. Mai #AfD wählen!	849060114388705280	2019-05-07 20:35:30	AfD	2.93
34496	953747036414926849	Langsam kotzt es mich an, dass Leute wir @katarinabarley immer nach Kinderrechten in die Verfassung rufen. @ManuelaSchwesig fuhr einst die gleiche Nummer. Wir brauchen keine Verfassungsänderung, sondern Richter, die ihren Job machen statt Sozialromantiker https://t.co/544EKBbI1t	1273010575	2018-01-17 21:53:07	Blaue	-0.11
44217	1202924293178429445	Gibt es ein Wolfsrudel im Kreis Neuwied? Bin von der grünen Wolfs-Romantik genervt. https://t.co/VS4fljkkrV	33071479	2019-12-06 12:14:35	CDU	0.61
45426	1106087320384618497	Realismus statt Wolfsromantik. Die Ängste und Sorgen der Menschen ernst nehmen. https://t.co/SQQT8mOYte	33071479	2019-03-14 06:59:01	CDU	-0.61
45461	1103933889590915073	"Beim Umgang mit Wölfen verlangt Gitta Connemann ""Realismus statt Wolfsromantik"". Die Sicherheit von Menschen habe oberste Priorität. https://t.co/EyRzZhw8Mq"	33071479	2019-03-08 08:22:04	CDU	-0.3
45666	1086532207462748160	Die grüne Blockade bei den sicheren #Herkunftsstaaten ist grob fahrlässig! Grüne Asylromantik lähmt unsere Behörden und verzögert Asylverfahren unnötig. Wir behalten die Realität im Auge: Wir unterscheiden klar zwischen Schutzbedürftigkeit und Asylmissbrauch.	33071479	2019-01-19 07:53:59	CDU	-0.41
46937	954329878236712961	"Wenn Malu Dreyer GroKo-Gegnern heute ""Oppositionsromantik"" vorwirft, kritisiert sie dann nicht auch die Malu Dreyer von vor ein paar Wochen? Und wenn ja: Wer ist sie &amp; wenn ja wie viele? #groko #wackelmalu  https://t.co/8SeyaqUsKD"	33071479	2018-01-19 12:29:08	CDU	-0.3
70732	1141711556776026113	Urlaub in der #Heimat #Ruhrgebiet #ruhrpottromantik https://t.co/uI7Z8qNR9C	19438957	2019-06-20 14:17:01	SPD	-0.3
88063	958250924765515776	Nehmen die Auszeichnung als Blocker von #Jamaika mit Demut an. 😊 Das wäre nix geworden außer FDP-Wortbruch... CL #politischeromantik #GoldeneBlogger	858362895075340288	2018-01-30 08:09:58	FDP	-0.3
91440	1195371379027251205	"Die #Landwirtschaft steht vor massiven Herausforderungen. Dazu macht @gitta_connemann klar: ""Wir brauchen einen Wandel in den Köpfen!"" Höchstleistungen in der Lebensmittelproduktion sind nicht mit Almromantik zu haben. https://t.co/EoQyol8D6C"	395912134	2019-11-15 16:02:00	CDU	0.19
91943	842417080368549888	Schwarzwaldromantik? - Die Zukunft des ländlichen Raumes stand bei einer Klausursitzung meines Teams auf der... https://t.co/VSkqj6gNM7	395912134	2017-03-16 16:47:37	CDU	0.55
96772	975338957612384256	Arm, aber nicht sexy wie #Berghain mit Tod junger Frau umgeht. Drogenchecks besser als Drogenkrieg. Aber hier geht es ggf auch um unterlassene Hilfeleistung &amp; Gefühle der Familie. Bei aller Party Romantik: Manche Clubs sind auch Cashtempel. Vernebelt manchmal den Verstand.	14784765	2018-03-18 11:51:43	LINKE	0.78
99407	1032303175372558336	Letzte Chance für Karten zum Musikfest Bremen am Kiekeberg!   „Renaissance trifft Romantik“: „Capella de la Torre“ und Pianist Aaron Pilsan! https://t.co/KtTGADlkuj	3337459024	2018-08-22 16:27:10	SPD	2.12
108243	487567810952822784	Ja, die Romantik ist zum Kotzen! http://t.co/e8n4pMrIE8	176104376	2014-07-11 12:03:19	LINKE	-0.3
111757	949703276739682305	Es gäbe die Ansicht, Widersprüche zwischen den Parteien seien schädlich, so @c_lindner - eine „spezifisch deutsche Form der Romantik. Es gibt aber in der Demokratie nicht nur die Pflicht zum Kompromiss, sondern auch die Pflicht zur Kontroverse.“ https://t.co/N2tNZvvBeW #3K18 @fdp	475275997	2018-01-06 18:04:40	FDP	-0.3
168860	1121433967469764609	Bundesparteitag: Im Moment scheint es so zu sein, dass Politikromantiker wie der #Grünen-Chef Robert #Habeck in Mode sind. Die #FDP versteht sich dagegen als Partei der Vernunft. https://t.co/NzJfiRv1m6 #StimmederoekonomischenVernunft #wirtschaft	18044683	2019-04-25 15:21:07	FDP	0.14
199403	1065628868210565120	@schieritz @OlafScholz @BMF_Bund Wer auf eine Liebeserklärung aber nur mit dem Ehevertrag herumwedelt, ist halt auch kein Romantiker ;-)	808400627084705792	2018-11-22 15:31:35	Grüne	-0.3
212943	884130303673069568	@sozialromantik @nimmdenbus weil diese Straßenschlachten ja wohl kaum ohne den G20 Gipfel so stattgefunden hätten	2179010672	2017-07-09 19:21:05	Grüne	-0.3
217334	1176909020243877888	#DranDraufDrüber Das Panzergrenadierbataillon 33 ist bereits wach und steht mit dem #Puma für die #ILÜ2019 in Lauerstellung. Ein großes Willkommen an alle neuen Follower. Bei uns bekommt Ihr #Heeresromantik am Morgen #Panzergrenadiere #Bundeswehr ©Riechel https://t.co/6wqXD1hz04	39938182	2019-09-25 17:19:10	CDU	-0.3
220317	776451760537931777	@sozialromantik Missverständnis ;-) wie gesagt, Frau Nahles war 2001 nicht im Bundestag und ist deshalb nicht die Urheberin der Rentenreform	748851762	2016-09-15 16:05:00	LINKE	1.31
220318	776438138025619460	@sozialromantik (1) Die Aussage im Artikel ist von Nahles. (2) Die Rentenreform aufgrund der das Rentenniveau sinkt ist von 2001	748851762	2016-09-15 15:10:52	LINKE	-0.3
220321	776431283509469184	@sozialromantik Frau Nahles saß 2001 nicht im Bundestag, also ist sie nicht Urheberin. Heute tut sie aber nichts dagegen, obwohl sie könnte!	748851762	2016-09-15 14:43:38	LINKE	1.31
236119	1088876598445703168	Der Abschnitt der Rede von #Höcke ist viel spannender in der Rede, welche #Maischberger zeigte. Er will alle Parteien abschaffen. Das ist lt. #Gauland eben #Nationalromantik #nonazis #noafd #NazisRaus https://t.co/cA5zbNAymK	149299258	2019-01-25 19:09:46	FDP	-0.61
239144	1190915826402156545	Endlich Schluss mit öder Hafenromantik! In Travemünde guckt man jetzt auf Häuserwände und Mülleimer! https://t.co/ndCEHprsNe	293522998	2019-11-03 08:57:13	LINKE	-0.3
259265	1067888461900914688	Mit über 20.000 Wölfen in Europa  ist längst ein günstiger Erhaltungszustand erreicht. Die Tiere haben keine natürlichen Feinde und vermehren sich rasant. Kein Anlass für Wolfsromantik - Zeit für ein vernünftiges Management... #Wolf https://t.co/0hV2jt6t0L	146376562	2018-11-28 21:10:24	CDU	-0.15
262702	1061605361801662464	@sozialromantik @spdde Und ich weiß nicht, was an lesen so schwer ist. 🤷‍♀️	516783036	2018-11-11 13:03:36	SPD	0.11
262703	1061602704542314498	@sozialromantik @spdde Sorry. Das wurde letzten Donnerstag im Bundestag beschlossen. (Teilhabechancengesetz oder Sozialer Arbeitsmarkt) Sehr gutes Gesetz übrigens. Dass es kaum wahrgenommen wird, zeigt ja aber gerade, dass man da offenkundig anders rangehen muss!	516783036	2018-11-11 12:53:03	SPD	-0.3
262988	1017853473906483206	@diestimme2 @sozialromantik @SPDSachsen @spdde Schöne einfache Welt, in der sie da leben...welche politischen Kräfte werden es denn Ihrer Meinung nach bewerkstelligen, dass es weniger Armut in D gibt?	516783036	2018-07-13 19:29:13	SPD	0.83
262993	1017851197208834048	@sozialromantik @SPDSachsen @spdde Gibt es Regen oder Schnee, war‘s die SPD...im Ernst: an der Massenarbeitslosigkeit nach der Wiedervereinigung war die SPD alleine schuld oder was? 🤔	516783036	2018-07-13 19:20:10	SPD	-0.27
266696	1024646661983879168	Wenn ich den ganzen, vorzugsweise neoliberalen, Wortschöpfungen so folge, bin ich nicht nur Gutmensch, Bedenkenträger und Sozialromantiker, sondern seit Neuestem wohl auch ein unerträglicher Moralist. Auch ok.	24178198	2018-08-01 13:22:55	LINKE	-0.3
267174	964947987679019009	@sozialromantik @Michael_Grunst Stimmt natürlich. Entschuldigung!!	24178198	2018-02-17 19:41:42	LINKE	-0.3
267528	954268209116516353	"""Es ist ein politisches Ver­sagen einer Mehrheit der Linken, über Fragen der Landwirtschaft und die vermeintlich dummen Bauern die Nase zu rümpfen."" Roland Röder in der @Jungle_World über Konsumideologie und Bauernhofromantik bei der @WirHabenEsSatt2-Demo: https://t.co/SKOGYuZFjO"	24178198	2018-01-19 08:24:05	LINKE	-2.22
287768	980421195043692545	@Werner_Mo Das hat mit „liberal“ nichts zu tun,sondern mit dem historischen Wissen um soziale Utopien und Romantik,mit dem sozialpsychologische Wissen zu Machterwerb und -erhalt, aber auch im Wissen um die boesen Folgen vieler sozialer Experimente	1296544153	2018-04-01 12:26:42	FDP	-0.3
288636	886648446165413890	@acwagner @EskenSaskia @SPIEGELONLINE Nein, weil die Sozialromantiker Gesellschaft immer vom Ende der Nahrungsmittelkette her denken.Und das tut weh !	1296544153	2017-07-16 18:07:17	FDP	-0.3
289094	855694875429404672	Interview von mir zu Macht in Organisationen. Die Hinterbuehne in Wirtschaft&amp;Politik.Sozialromantiker übersehen das https://t.co/HFUNER62QN	1296544153	2017-04-22 08:08:51	FDP	-0.3
296293	1207397864617304064	Naja, ist nur folgerichtig. Romantik spielte damals eh keine Rolle.  #koeln #sylvester #Feuerwerk https://t.co/ZfJ0mQ5EDs	932931561015730176	2019-12-18 20:30:57	Blaue	1.55
296294	1207397658350039044	@DrKissler Naja, ist nur folgerichtig. Romantik spielte damals eh keine Rolle.	932931561015730176	2019-12-18 20:30:08	Blaue	1.31
330210	1195364374703161344	"Die #Landwirtschaft steht vor massiven Herausforderungen. Dazu macht @gitta_connemann klar: ""Wir brauchen einen Wandel in den Köpfen!"" Höchstleistungen in der Lebensmittelproduktion sind nicht mit Almromantik zu haben. https://t.co/EoQyol8D6C"	1125751445205262336	2019-11-15 15:34:10	CDU	0.19
332591	935076474415132673	@sozialromantik Jetzt wo @OlafScholz 12 Euro #Mindestlohn fordert, hoffe ich doch, dass das klappt :)	849012308	2017-11-27 09:22:59	LINKE	-0.3
