	tweet_id	text	user_id	created_at	party	valence
7842	974564579224309760	Schön wäre es ...   irrte Machiavelli doch schon  bei seiner romantischen Vorstellung des guten Fürsten https://t.co/m0JiFtN7aX	52119203	2018-03-16 08:34:36	Parteilos	1.31
17201	1204342516541210624	Der Hofkriminologe Christian Pfeiffer pfeift wieder ein romantisches Lied, um sich bei den Regierenden anzubiedern. Diesmal ist seine These: Insgesamt sei bei Jugendlichen ein Rückgang der Gewalt zu erkennen. Na sicher. Sind ja auch alles nur EINZELFÄLLE!  https://t.co/uySkW6DAgA	849060114388705280	2019-12-10 10:10:06	AfD	1.32
20554	1119935766401040384	Romantisch...🙄 https://t.co/cHsfxkOtRe	849060114388705280	2019-04-21 12:07:48	AfD	1.31
47441	906797698409488385	Leutesdorfer Winzerfest ist feierlich eröffnet.  Gemütliches Weindorf am romantischen Rhein. https://t.co/zX1AdgYZvm	33071479	2017-09-10 08:33:13	CDU	1.48
62298	1113462319747600384	.@theliberalfrank: Hinter der romantischen Bezeichnung „Neue Seitenstraße“ steht knallharte Interessenspolitik. Wir brauchen Antworten auf das chinesische Engagement. Grundlage guter Bez. ist der Austausch. Nur in Kooperation mit #China können Herausforderungen überwunden werden. https://t.co/2ZlgXKvQ5c	984048002967982080	2019-04-03 15:24:38	FDP	0.76
64639	1077647583055630336	Ich war im Spessart - und erschrak zuweilen, dass es dort wirklich so schön ist wie auf Bildern. Ironie gehört aber auch dazu, romantische Ironie. Mein Reisebericht via @welt  https://t.co/F1DTKFSALr	2443895924	2018-12-25 19:29:40	SPD	-1.37
109616	1171750106976178176	"""Dass Politik ohne digitale Kommunikation funktionieren könnte, ist eine sonderbare, romantische Vorstellung"" — @KonstantinKuhle @fdpbt mit Kritik an Social-Media-Verweigerern unter Politiker:innen #Mediendialog2019 https://t.co/Pv5VmvhptZ"	475275997	2019-09-11 11:39:30	FDP	-0.3
117136	833594223995842560	Das hört sich ja schön sozialromantisch an. Allein: Wie soll das funktionieren, wenn in Afrika Millionen ihre Zukunft in Deutschland suchen! https://t.co/r38hf6yoAH	37642893	2017-02-20 08:28:45	CDU	-0.3
125833	1062048613923201026	#Grüne und #Linke wollen, dass #Karlsruhe die Patenschaft für ein Seenotrettungsschiff einer Nichtregierungsorganisation (NGO) im Mittelmeer übernimmt.  Eine romantische, realitätsferne Weltsicht. https://t.co/ZHLy0isbiq	805823950253150208	2018-11-12 18:24:56	AfD	1.08
148594	1051846405214654464	„Wir müssen den #Brexit fair machen, damit die Briten sich danach romantisch an die #EU erinnern und später wieder rein wollen!“ sagt @c_lindner beim #ut18bga https://t.co/U1uyVJNYR2	122104353	2018-10-15 14:45:00	FDP	1.31
149499	995250325954138112	„Wir sollten dafür sorgen, dass sich die #Briten mit romantischem Wehmut an ihre Zeit in der #EU erinnern - auf dass sie noch zu meinen Lebzeiten zurückkehren.“ @c_lindner #bpt18 @FDP | Mit @johannesvogel @nicolabeerfdp @MarcoBuschmann @MAStrackZi @KatjaSuding @ch_dammermann https://t.co/AkSKcnLlBp	122104353	2018-05-12 10:32:23	FDP	0.58
171003	912899387621298177	#Jamaika, ein romantisches Politikprojekt? Nein, bislang nur Mathematik, sagt #Lindner #FDP. https://t.co/SQvIh3bKLg via @welt	18044683	2017-09-27 04:39:09	FDP	1.31
