id	username	screenname	lastname	firstname	party	country	membership
805823950253150208	MarcBernhardAfD	Marc Bernhard, MdB	Bernhard	Marc	AfD	DE	MdB
910878654535749632	AndreasBleckMdB	Andreas Bleck, MdB	Bleck	Andreas	AfD	DE	MdB
99268600	PeterBoehringer	Peter Boehringer	Boehringer	Peter	AfD	DE	MdB
713361366858481664	StBrandner	Stephan Brandner	Brandner	Stephan	AfD	DE	MdB
729360191263780867	Marcus_Buehl	Marcus Bühl, AfD MdB	Bühl	Marcus	AfD	DE	MdB
810957560723505152	PetrBystronAfD	Petr Bystron	Bystron	Petr	AfD	DE	MdB
814970546366611457	JoanaCotar	Joana Cotar, MdB	Cotar	Joana	AfD	DE	MdB
848618993015500802	GottfriedCurio	Dr. Gottfried Curio	Curio	Gottfried	AfD	DE	MdB
885167849685340161	EspendillerM	Dr. Michael Espendiller	Espendiller	Michael	AfD	DE	MdB
916324637046435840	DrFriesenMdB	Dr. Anton Friesen, MdB 	Friesen	Anton	AfD	DE	MdB
4130621842	Frohnmaier_AfD	Markus Frohnmaier	Frohnmaier	Markus	AfD	DE	MdB
809895794	GtzFrmming	Götz Frömming, MdB	Frömming	Götz	AfD	DE	MdB
1862781722	axelgehrke	Axel Gehrke	Gehrke	Axel	AfD	DE	MdB
1286011081	KayGottschalk1	Kay Gottschalk	Gottschalk	Kay	AfD	DE	MdB
282687385	R_Hartwig_AfD	Dr. Roland Hartwig, MdB	Hartwig	Roland	AfD	DE	MdB
717077328669646849	Jochen_Haug	Jochen Haug, MdB	Haug	Jochen	AfD	DE	MdB
849060114388705280	UdoHemmelgarn	Udo Hemmelgarn, MdB	Hemmelgarn	Udo	AfD	DE	MdB
3384824825	WaldemarHerdt	Waldemar Herdt, MdB	Herdt	Waldemar	AfD	DE	MdB
872663038805016576	Martin_Hess_AfD	Martin Hess	Hess	Martin	AfD	DE	MdB
739531034761498624	Leif_Erik_Holm	Leif-Erik Holm	Holm	Leif-Erik	AfD	DE	MdB
2527085323	Huber_AfD	Johannes Huber, MdB	Huber	Johannes	AfD	DE	MdB
944181149424898048	Jacobi_AfD	Fabian Jacobi MdB	Jacobi	Fabian	AfD	DE	MdB
4121053541	Marc_Jongen	Dr. Marc Jongen	Jongen	Marc	AfD	DE	MdB
865920519668989955	NKleinwaechter	Norbert Kleinwächter	Kleinwächter	Norbert	AfD	DE	MdB
781747720897892352	EnricoKomning	Enrico Komning MdB	Komning	Enrico	AfD	DE	MdB
912223443231428609	SteffenKotre	Steffen Kotré	Kotré	Steffen	AfD	DE	MdB
4875914470	MdB_Lucassen	Rüdiger Lucassen, MdB	Lucassen	Rüdiger	AfD	DE	MdB
940532615177752576	Frank_Magnitz	Frank Magnitz	Magnitz	Frank	AfD	DE	MdB
916639458409242624	JensMaierAfD	Jens Maier	Maier	Jens	AfD	DE	MdB
824210890354520064	ProfMaier	Prof. Dr. Lothar Maier MdB	Maier	Lothar	AfD	DE	MdB
868762469115846657	CorinnaMiazga	Corinna Miazga, MdB	Miazga	Corinna	AfD	DE	MdB
2618890032	mrosek1958	Andreas Mrosek, MdB	Mrosek	Andreas	AfD	DE	MdB
863657874941255684	S_Muenzenmaier	Sebastian Münzenmaier, MdB	Münzenmaier	Sebastian	AfD	DE	MdB
3408940048	Jan_Nolte_AfD	Jan Nolte	Nolte	Jan	AfD	DE	MdB
3384795790	Ulrich_Oehme	Ulrich Oehme, MdB	Oehme	Ulrich	AfD	DE	MdB
1534201208	ttte94	Gerold Otten	Otten	Gerold	AfD	DE	MdB
1490376331	Frank_Pasemann	Frank Pasemann, MdB	Pasemann	Frank	AfD	DE	MdB
2496104640	TobiasMPeterka	Tobias M. Peterka	Peterka	Tobias	AfD	DE	MdB
774308243124391937	Paul_Podolay	Paul Podolay, MdB	Podolay	Paul	AfD	DE	MdB
175071092	Pohl_MdB	Jürgen Pohl	Pohl	Jürgen	AfD	DE	MdB
2545743991	M_Reichardt_AfD	Martin Reichardt, MdB	Reichardt	Martin	AfD	DE	MdB
2535401947	Renner_AfD	Martin Erwin Renner	Renner	Martin Erwin	AfD	DE	MdB
866924100	ulschzi	Ulrike Schielke-Ziesing,MdB	Schielke-Ziesing	Ulrike	AfD	DE	MdB
1009025255753601024	DrRobbySchlund	Dr. Robby Schlund, MdB	Schlund	Robby	AfD	DE	MdB
913358838736310272	Th_Seitz_AfD	Thomas Seitz, MdB	Seitz	Thomas	AfD	DE	MdB
918405860862382082	Martin_Sichert	Martin Sichert, MdB	Sichert	Martin	AfD	DE	MdB
810537151729373184	DirkSpaniel	Dr. Dirk Spaniel	Spaniel	Dirk	AfD	DE	MdB
4429947807	ElsnervonGronow	Berengar Elsner von Gronow, MdB	von Gronow	Berengar Elsner	AfD	DE	MdB
805308596	Beatrix_vStorch	Beatrix von Storch	von Storch	Beatrix	AfD	DE	MdB
833398209053605888	Alice_Weidel	Alice Weidel	Weidel	Alice	AfD	DE	MdB
841412635270762496	h_weyel	Prof. Harald Weyel	Weyel	Harald	AfD	DE	MdB
920193967937019904	ChrWirthMdB	Dr. Christian Wirth, MdB	Wirth	Christian	AfD	DE	MdB
4503658823	Witt_Uwe	Uwe Witt MdB	Witt	Uwe	AfD	DE	MdB
378693834	peteraltmaier	Peter Altmaier	Altmaier	Peter	CDU	DE	MdB
934016327567790080	Philipp_Amthor	Philipp Amthor	Amthor	Philipp	CDU	DE	MdB
2797812265	Thomas_Bareiss	Thomas Bareiß	Bareiß	Thomas	CDU	DE	MdB
569257486	MaikBeermann	Maik Beermann	Beermann	Maik	CDU	DE	MdB
61577387	Manfredbehrens	Manfred Behrens, CDU	Behrens	Manfred	CDU	DE	MdB
830085678063030273	c_bernstiel	Christoph Bernstiel	Bernstiel	Christoph	CDU	DE	MdB
445375409	Peter_Beyer	Peter Beyer MdB	Beyer	Peter	CDU	DE	MdB
935815000006053888	MBiadaczMdB	Marc Biadacz MdB	Biadacz	Marc	CDU	DE	MdB
23925041	SteffenBilger	Steffen Bilger	Bilger	Steffen	CDU	DE	MdB
19108071	HBraun	Helge Braun	Braun	Helge	CDU	DE	MdB
150372237	HeikeBrehmerMdB	Heike Brehmer	Brehmer	Heike	CDU	DE	MdB
38001527	rbrinkhaus	Ralph Brinkhaus	Brinkhaus	Ralph	CDU	DE	MdB
47151012	UweFe	Uwe Feiler	Feiler	Uwe	CDU	DE	MdB
160906608	Axel_Fischer	Axel Fischer	Fischer	Axel	CDU	DE	MdB
1181598578508214272	thorsten_frei	Thorsten Frei	Frei	Thorsten	CDU	DE	MdB
66750542	fuchtel	Hans-Joachim Fuchtel	Fuchtel	Hans-Joachim	CDU	DE	MdB
51483238	thomasgebhart	Thomas Gebhart MdB	Gebhart	Thomas	CDU	DE	MdB
1125751445205262336	gitta_connemann	Gitta Connemann	Gonnemann	Gitta	CDU	DE	MdB
94363834	groehe	Hermann Gröhe	Gröhe	Hermann	CDU	DE	MdB
574424501	MGrosseBroemer	M. Grosse-Brömer	Grosse-Brömer	Michael	CDU	DE	MdB
796691290016583680	GruebelMdb	Markus Grübel MdB	Grübel	Markus	CDU	DE	MdB
779601750789656576	FGuentzler	Fritz Güntzler	Güntzler	Fritz	CDU	DE	MdB
